cliente_id,name,phone,date_birth,residency,address,in_charge,created_at,marital_status_id,process_status_id,gender_id,document_type_id,document_number,minority_id,monthly_expenses,monthly_income,savings,years_working,contract_type_id,education_level_id,occupation_id,banked,loan_amount,bank,credit_status_id,credit_type_id,vivienda,reports,approved_credit,apply_subsidy,concurrent_subsidy,subsidy_type_id,sisben_id
00bfc244-7553-4b1b-bc76-2612aab7d271,Lupita,+51999666111,,,,,"2024-11-05 01:19:15.546533+00",2,13,11,19,45678946,101,,,,,,,96,,,,6,28,f,t,f,t,f,42,44
02449d13-063b-445d-9752-23c68ec5769a,Nino,+51999666888,,Cali,,3,"2024-11-05 01:19:15.546533+00",2,13,11,21,45678916,,,,,,,,,,,,,,,,,,,,
05c8ee14-3c84-4c82-92f4-20d1854fd262,Hello,,,,,,"2024-11-15 00:46:50.664091+00",,12,,,,,,,,,,,,,,,,,,,,,,,
118aaa37-30f4-4aa4-9691-ffa11646c46c,Nino,3044414345,2024-11-14,Barranquilla,"calle 93 #72-71",,"2024-11-15 00:45:16.138416+00",,12,,,,,,,,,,,,,,,,,,,,,,,
1377c52b-15d2-478b-a0ce-42081e488205,"nombre 1",,,,,,"2024-11-15 00:52:21.716453+00",,12,,,,,,,,,,,,,,,,,,,,,,,
152da24c-9736-4755-bfec-a9dcb23b11ad,"Juan Andres Rodri",,,,,,"2024-11-11 05:34:23.523666+00",,,,,,,,,,,,,96,t,,,,,,,,,,,
1569d930-4819-4bf6-b1f5-6daff37c1fd4,Natalia,+51999444888,,,,,"2024-11-05 01:19:15.546533+00",2,12,11,19,45678934,,,,,,,,,,,,,,,,,,,,
167e0a72-69df-4cba-a0ea-c88fcee0d3de,"Prueba 2",,2024-12-16,,,,"2024-12-16 00:10:12.553201+00",,12,,21,,,,,,,,,,,,,,,,,,,,,
17870431-c1eb-497f-8cc8-caf0d2199299,Adriana,+51999000222,,,,,"2024-11-05 01:19:15.546533+00",3,14,11,19,45678920,,,,,,,,,,,,,,,,,,,,
1867fd8e-00aa-4be6-a000-993bec5a6a13,Marlon,,,,,,"2024-11-12 03:42:09.035673+00",,,,,,,,,,,,,,,,,,,,,,,,,
1a2b581d-c580-4321-a849-c2c835553552,Elena,+51999888333,,,,,"2024-11-05 01:19:15.546533+00",1,16,11,,45678948,,,,,,,,,,,,,,,,,,,,
1bb2b7cd-e1b1-46c1-9495-5438db02a0e2,Raúl,+51999111444,,,,,"2024-11-05 01:19:15.546533+00",1,13,9,,45678921,,,,,,,,,,,,,,,,,,,,
1dad762f-a6d3-4327-aa91-6398f2e59fd1,"Miguel P",,,,,,"2024-11-11 22:12:32.875607+00",,,,,,,,,,,,,,,,,,,,,,,,,
1fffcb45-509c-4a80-87ef-b9e267190927,"Ana Juarez",,,,,,"2024-11-11 05:55:04.146999+00",2,,,,,,,,2000000,,31,41,,,2000000,,5,29,,,,t,,42,
20e48716-0c22-45f9-a691-71fbd5f0183b,Ana,+51999444555,,,,,"2024-11-05 01:19:15.546533+00",4,16,11,,45678904,,,,,,,,,,,,,,,,,,,,
235b5ad8-1e6e-4e3b-8663-e6e37d2834c9,"Miguel H",,,,,,"2024-11-12 00:10:13.497267+00",,,,19,202020201,,,,,,,,,,,,,,,,,t,,,
29eb77fa-8da4-4284-8ad0-be3aa2fdd137,"Nino Cabrera ",,,,,,"2024-11-13 18:49:44.688233+00",,12,,19,1019029121,,,,,,,,98,t,,,,,,,,t,,42,
2ad08900-69f4-4b11-bb22-d76f4aa1a02e,"Andres C",,,,,,"2024-11-11 22:14:23.757103+00",,,,,,,,,,,,,,,,,,,,,,,,,
2fac6a7f-fdb5-44a0-8c72-9a6344398bb7,"Juan Andres F",,,,,,"2024-11-11 22:14:48.055056+00",,,,19,,,,,,,,,,,,,,,,,,t,,,
30ed18c3-8155-4406-8721-9280c2d71f09,Mónica,+51999222555,,,,,"2024-11-05 01:19:15.546533+00",2,15,11,,45678922,,,,,,,,,,,,,,,,,,,,
3569d8a4-e505-47f9-b2e2-f4ddff94b23d,César,+51999111666,,,,,"2024-11-05 01:19:15.546533+00",4,13,9,,45678941,,,,,,,,,,,,,,,,,,,,
36a71fc3-8e42-4404-8298-943eaf9c7442,Marco,+51999999333,,,,,"2024-11-05 01:19:15.546533+00",1,12,9,,45678939,,,,,,,,,,,,,,,,,,,,
3d1509d5-57b2-4919-9e51-6c09d4291ebc,"Miguel P",,,,,,"2024-12-16 00:09:17.619179+00",,12,,19,1000,,,,,,,,,,,,,,,,,,,,
3efbf0ef-7366-4883-8d4a-e1e4633fe6c0,"Rodrigo Perez",,,,,,"2024-11-11 21:01:53.253379+00",,,,,,,,,,,,,,,,,,,,,,,,,
4131e9e6-d679-40d2-bf83-1e3caeea5737,Francisco,+51999777222,,,,,"2024-11-05 01:19:15.546533+00",4,15,9,,45678947,,,,,,,,,,,,,,,,,,,,
4565837c-9221-42f2-af0d-a3bdd55888cd,Miguel,+51999777888,,,,,"2024-11-05 01:19:15.546533+00",2,15,9,,45678907,,,,,,,,,,,,,,,,,,,,
47bbc7d8-05eb-4779-bac7-e8df766598e6,Lucía,+51999888000,,,,,"2024-11-05 01:19:15.546533+00",1,16,11,,45678918,,,,,,,,,,,,,,,,,,,,
48f01069-bf6b-407c-aa3e-f39693aa7ecc,"Natalia Perez",,,,,,"2024-11-12 00:06:38.290937+00",,,,,,,,,,,,,,,,,,,,,,,,,
49fec2ea-ca22-42ee-89f6-8732bd471377,Artemisa,,,,,,"2024-11-12 00:14:01.308681+00",,,,,,,,,,,,,,,,,,,,,,,,,
4afa48e5-d97f-498b-9545-40f02d9ec2fe,Gustavo,+51999777111,,,,,"2024-11-05 01:19:15.546533+00",2,15,9,,45678937,,,,,,,,,,,,,,,,,,,,
4b14ca1e-3fa3-4a99-9011-04019f9bcaa6,"Juan Andres Duran",,,,,,"2024-11-15 04:22:13.09389+00",,12,,,,,,,,,,,97,,,,,,,,,,,,
4b5e2d85-fde1-4b1c-b9df-e5cac2129117,Patricia,+51999222444,,,,,"2024-11-05 01:19:15.546533+00",1,15,11,,45678912,,,,,,,,,,,,,,,,,,,,
